,Power
50.0,-106.2
50.2,-108.67
50.4,-102.81
50.6,-99.22
50.8,-93.89
51.0,-93.95
51.2,-93.91
51.4,-93.33
51.6,-89.78
51.8,-92.81
52.0,-97.04
52.2,-102.55
52.4,-92.81
52.6,-95.9
52.8,-104.78
53.0,-99.4
53.2,-96.85
53.4,-96.75
53.6,-100.55
53.8,-108.38
54.0,-96.33
54.2,-96.51
54.4,-95.96
54.6,-99.98
54.8,-93.42
55.0,-93.83
55.2,-95.69
55.4,-100.21
55.6,-100.4
55.8,-98.52
56.0,-96.31
56.2,-99.17
56.4,-97.94
56.6,-101.22
56.8,-100.43
57.0,-103.2
57.2,-92.62
57.4,-90.61
57.6,-92.84
57.8,-94.19
58.0,-86.93
58.2,-80.46
58.4,-79.41
58.6,-84.28
58.8,-89.87
59.0,-91.84
59.2,-112.83
59.4,-95.39
59.6,-93.61
59.8,-88.25
60.0,-82.11
60.2,-79.25
60.4,-91.43
60.6,-92.32
60.8,-88.89
61.0,-90.01
61.2,-85.15
61.4,-84.85
61.6,-86.16
61.8,-87.59
62.0,-86.69
62.2,-91.66
62.4,-92.14
62.6,-85.73
62.8,-89.6
63.0,-90.85
63.2,-90.79
63.4,-90.92
63.6,-95.64
63.8,-96.81
64.0,-101.64
64.2,-93.99
64.4,-91.06
64.6,-96.23
64.8,-90.97
65.0,-92.39
65.2,-85.02
65.4,-85.57
65.6,-86.88
65.8,-86.44
66.0,-91.34
66.2,-98.3
66.4,-94.88
66.6,-93.21
66.8,-78.05
67.0,-67.59
67.2,-63.63
67.4,-64.8
67.6,-74.31
67.8,-83.88
68.0,-93.65
68.2,-107.64
68.4,-86.71
68.6,-84.33
68.8,-85.91
69.0,-90.94
69.2,-90.56
69.4,-98.12
69.6,-105.32
69.8,-94.93
70.0,-102.06
70.2,-97.9
70.4,-94.42
70.6,-94.75
70.8,-93.59
71.0,-100.64
71.2,-95.75
71.4,-88.43
71.6,-83.36
71.8,-79.88
72.0,-80.77
72.2,-82.94
72.4,-90.61
72.6,-91.0
72.8,-97.85
73.0,-96.25
73.2,-84.92
73.4,-88.63
73.6,-92.03
73.8,-91.45
74.0,-96.17
74.2,-95.62
74.4,-88.59
74.6,-85.42
74.8,-94.49
75.0,-91.93
75.2,-90.62
75.4,-89.36
75.6,-90.29
75.8,-92.9
76.0,-91.35
76.2,-91.18
76.4,-97.99
76.6,-92.83
76.8,-85.45
77.0,-78.31
77.2,-66.97
77.4,-68.1
77.6,-75.18
77.8,-91.35
78.0,-99.46
78.2,-97.25
78.4,-95.55
78.6,-96.01
78.8,-93.34
79.0,-90.1
79.2,-87.85
79.4,-84.27
79.6,-96.0
79.8,-91.45
80.0,-90.45
80.2,-89.94
80.4,-87.02
80.6,-88.43
80.8,-89.11
81.0,-88.35
81.2,-93.09
81.4,-84.85
81.6,-80.51
81.8,-80.54
82.0,-82.25
82.2,-88.91
82.4,-96.2
82.6,-94.92
82.8,-100.16
83.0,-99.46
83.2,-108.08
83.4,-102.58
83.6,-83.55
83.8,-83.01
84.0,-83.89
84.2,-85.72
84.4,-93.78
84.6,-96.45
84.8,-95.22
85.0,-100.14
85.2,-97.62
85.4,-102.7
85.6,-104.22
85.8,-106.98
86.0,-80.9
86.2,-79.99
86.4,-80.0
86.6,-81.23
86.8,-96.39
87.0,-100.06
87.2,-92.84
87.4,-85.14
87.6,-90.97
87.8,-95.11
88.0,-93.73
88.2,-84.27
88.4,-86.53
88.6,-91.85
88.8,-92.44
89.0,-89.17
89.2,-82.06
89.4,-84.56
89.6,-87.28
89.8,-82.89
90.0,-91.61
90.2,-98.34
90.4,-87.86
90.6,-83.57
90.8,-79.02
91.0,-79.69
91.2,-79.97
91.4,-81.05
91.6,-85.56
91.8,-88.42
92.0,-87.96
92.2,-85.92
92.4,-79.43
92.6,-81.16
92.8,-82.68
93.0,-82.62
93.2,-87.27
93.4,-106.0
93.6,-83.27
93.8,-77.52
94.0,-77.38
94.2,-80.6
94.4,-87.86
94.6,-92.67
94.8,-86.67
95.0,-85.76
95.2,-77.84
95.4,-72.62
95.6,-76.96
95.8,-86.95
96.0,-85.13
96.2,-80.96
96.4,-86.84
96.6,-88.67
96.8,-82.03
97.0,-77.74
97.2,-76.1
97.4,-83.99
97.6,-88.11
97.8,-82.01
98.0,-83.49
98.2,-91.76
98.4,-90.22
98.6,-82.57
98.8,-86.87
99.0,-91.34
99.2,-96.48
99.4,-88.6
99.6,-101.94
99.8,-94.42
100.0,-91.5
100.2,-92.43
100.4,-94.56
100.6,-94.5
100.8,-99.73
101.0,-90.13
101.2,-90.17
101.4,-87.47
101.6,-89.05
101.8,-91.98
102.0,-96.25
102.2,-101.69
102.4,-101.79
102.6,-96.62
102.8,-90.28
103.0,-89.97
103.2,-93.22
103.4,-95.53
103.6,-99.78
103.8,-98.82
104.0,-97.47
104.2,-96.82
104.4,-98.81
104.6,-92.65
104.8,-89.41
105.0,-93.51
105.2,-82.44
105.4,-82.65
105.6,-81.47
105.8,-79.97
106.0,-86.56
106.2,-91.99
106.4,-96.46
106.6,-92.73
106.8,-115.3
107.0,-92.3
107.2,-82.89
107.4,-78.38
107.6,-78.22
107.8,-81.67
108.0,-87.34
108.2,-94.1
108.4,-100.28
108.6,-90.91
108.8,-88.99
109.0,-91.18
109.2,-102.05
109.4,-97.91
109.6,-94.81
109.8,-94.19
110.0,-101.69
110.2,-96.06
110.4,-91.45
110.6,-90.5
110.8,-90.37
111.0,-88.89
111.2,-88.15
111.4,-90.03
111.6,-92.21
111.8,-96.81
112.0,-97.49
112.2,-98.61
112.4,-87.01
112.6,-87.05
112.8,-90.71
113.0,-92.95
113.2,-104.06
113.4,-106.35
113.6,-99.09
113.8,-96.07
114.0,-95.79
114.2,-97.33
114.4,-101.13
114.6,-104.12
114.8,-102.56
115.0,-102.22
115.2,-102.4
115.4,-98.63
115.6,-113.04
115.8,-94.98
116.0,-91.14
116.2,-90.28
116.4,-102.62
116.6,-101.61
116.8,-105.53
117.0,-102.28
117.2,-94.53
117.4,-91.95
117.6,-94.51
117.8,-103.84
118.0,-99.43
118.2,-100.87
118.4,-100.07
118.6,-102.77
118.8,-97.65
119.0,-101.24
119.2,-107.28
119.4,-103.6
119.6,-90.97
119.8,-87.6
120.0,-86.27
120.2,-89.59
120.4,-94.3
120.6,-93.12
120.8,-94.65
121.0,-97.75
121.2,-117.54
121.4,-102.34
121.6,-99.28
121.8,-103.82
122.0,-113.33
122.2,-111.56
122.4,-117.39
122.6,-106.66
122.8,-105.76
123.0,-106.43
123.2,-104.57
123.4,-105.27
123.6,-101.7
123.8,-100.21
124.0,-106.03
124.2,-108.2
124.4,-87.54
124.6,-90.45
124.8,-95.94
125.0,-89.96
125.2,-107.76
125.4,-108.27
125.6,-101.53
125.8,-101.1
126.0,-108.35
126.2,-121.0
126.4,-103.68
126.6,-100.3
126.8,-97.57
127.0,-102.29
127.2,-105.96
127.4,-101.14
127.6,-100.17
127.8,-103.17
128.0,-94.78
128.2,-93.75
128.4,-101.85
128.6,-100.54
128.8,-100.87
129.0,-101.02
129.2,-96.53
129.4,-94.21
129.6,-93.91
129.8,-99.52
130.0,-96.98
130.2,-97.05
130.4,-97.61
130.6,-98.03
130.8,-104.07
131.0,-101.82
131.2,-97.76
131.4,-96.62
131.6,-96.24
131.8,-90.84
132.0,-92.02
132.2,-95.9
132.4,-97.02
132.6,-92.91
132.8,-92.47
133.0,-93.28
133.2,-108.49
133.4,-104.36
133.6,-104.64
133.8,-103.21
134.0,-111.8
134.2,-99.28
134.4,-95.17
134.6,-96.1
134.8,-91.88
135.0,-89.83
135.2,-91.17
135.4,-101.01
135.6,-93.78
135.8,-99.01
136.0,-120.14
136.2,-102.14
136.4,-87.08
136.6,-88.84
136.8,-96.94
137.0,-93.34
137.2,-100.74
137.4,-100.23
137.6,-103.33
137.8,-104.29
138.0,-102.75
138.2,-97.79
138.4,-97.39
138.6,-100.01
138.8,-101.02
139.0,-101.08
139.2,-100.81
139.4,-100.15
139.6,-97.92
139.8,-97.91
140.0,-101.98
140.2,-108.07
140.4,-118.32
140.6,-107.73
140.8,-102.0
141.0,-99.97
141.2,-102.71
141.4,-98.41
141.6,-95.96
141.8,-97.02
142.0,-104.72
142.2,-105.23
142.4,-103.0
142.6,-109.01
142.8,-103.24
143.0,-99.81
143.2,-102.63
143.4,-113.05
143.6,-103.27
143.8,-101.0
144.0,-102.04
144.2,-103.41
144.4,-104.69
144.6,-102.71
144.8,-101.35
145.0,-99.85
145.2,-101.04
145.4,-103.82
145.6,-105.39
145.8,-106.18
146.0,-93.62
146.2,-97.41
146.4,-99.89
146.6,-100.84
146.8,-96.37
147.0,-98.69
147.2,-95.15
147.4,-92.59
147.6,-95.79
147.8,-95.6
148.0,-96.93
148.2,-91.02
148.4,-88.22
148.6,-87.21
148.8,-91.37
149.0,-100.88
149.2,-101.13
149.4,-97.5
149.6,-97.29
149.8,-103.77
150.0,-90.96
150.2,-89.24
150.4,-88.16
150.6,-87.66
150.8,-97.76
151.0,-97.74
151.2,-99.78
151.4,-102.95
151.6,-97.23
151.8,-98.45
152.0,-99.22
152.2,-100.19
152.4,-101.53
152.6,-100.23
152.8,-102.87
153.0,-107.99
153.2,-101.48
153.4,-97.15
153.6,-95.45
153.8,-96.17
154.0,-97.85
154.2,-94.12
154.4,-91.58
154.6,-93.16
154.8,-99.44
155.0,-101.33
155.2,-97.9
155.4,-94.38
155.6,-90.61
155.8,-87.8
156.0,-87.53
